Width,Curve Length,Depth
50,56.265951,11.301331
50,56.28344,11.318361
50,56.30093,11.335372
50,56.318419,11.352365
50,56.335909,11.36934
50,56.353398,11.386296
50,56.370888,11.403235
50,56.388377,11.420155
50,56.405867,11.437057
50,56.423357,11.45394
50,56.440846,11.470807
50,56.458336,11.487655
50,56.475825,11.504485
50,56.493315,11.521298
50,56.510804,11.538094
50,56.528294,11.554871
50,56.545783,11.571632
50,56.563273,11.588375
50,56.580763,11.605101
50,56.598252,11.621809
50,56.615742,11.6385
50,56.633231,11.655175
50,56.650721,11.671832
50,56.668211,11.688473
50,56.6857,11.705096
50,56.70319,11.721703
50,56.720679,11.738293
50,56.738169,11.754867
50,56.755659,11.771424
50,56.773148,11.787964
50,56.790638,11.804488
50,56.808127,11.820996
50,56.825617,11.837488
50,56.843107,11.853963
50,56.860596,11.870422
50,56.878086,11.886865
50,56.895576,11.903292
50,56.913065,11.919703
50,56.930555,11.936098
50,56.948045,11.952477
50,56.965534,11.968841
50,56.983024,11.985189
50,57.000514,12.001521
50,57.018003,12.017838
50,57.035493,12.034139
50,57.052983,12.050425
50,57.070472,12.066696
50,57.087962,12.082951
50,57.105452,12.099191
50,57.122941,12.115415
50,57.140431,12.131625
50,57.157921,12.14782
50,57.17541,12.163999
50,57.1929,12.180164
50,57.21039,12.196313
50,57.227879,12.212448
50,57.245369,12.228568
50,57.262859,12.244674
50,57.280349,12.260765
50,57.297838,12.276841
50,57.315328,12.292902
50,57.332818,12.30895
50,57.350307,12.324982
50,57.367797,12.341001
50,57.385287,12.357005
50,57.402777,12.372995
50,57.420266,12.38897
50,57.437756,12.404932
50,57.455246,12.420879
50,57.472736,12.436812
50,57.490225,12.452732
50,57.507715,12.468637
50,57.525205,12.484529
50,57.542695,12.500406
50,57.560185,12.51627
50,57.577674,12.532121
50,57.595164,12.547957
50,57.612654,12.56378
50,57.630144,12.57959
50,57.647633,12.595385
50,57.665123,12.611168
50,57.682613,12.626937
50,57.700103,12.642693
50,57.717593,12.658435
50,57.735083,12.674164
50,57.752572,12.68988
50,57.770062,12.705582
50,57.787552,12.721272
50,57.805042,12.736949
50,57.822532,12.752612
50,57.840021,12.768263
50,57.857511,12.7839
50,57.875001,12.799525
50,57.892491,12.815137
50,57.909981,12.830736
50,57.927471,12.846322
50,57.94496,12.861896
50,57.96245,12.877457
50,57.97994,12.893006
50,57.99743,12.908541
50,58.01492,12.924065
50,58.03241,12.939576
50,58.0499,12.955074
50,58.06739,12.97056
50,58.084879,12.986034
50,58.102369,13.001496
50,58.119859,13.016945
50,58.137349,13.032382
50,58.154839,13.047807
50,58.172329,13.06322
50,58.189819,13.078621
50,58.207309,13.094009
50,58.224799,13.109386
50,58.242288,13.124751
50,58.259778,13.140104
50,58.277268,13.155445
50,58.294758,13.170774
50,58.312248,13.186091
50,58.329738,13.201397
50,58.347228,13.216691
50,58.364718,13.231973
50,58.382208,13.247244
50,58.399698,13.262503
50,58.417188,13.277751
50,58.434678,13.292987
50,58.452168,13.308212
50,58.469658,13.323425
50,58.487147,13.338627
50,58.504637,13.353817
50,58.522127,13.368997
50,58.539617,13.384165
50,58.557107,13.399321
50,58.574597,13.414467
50,58.592087,13.429601
50,58.609577,13.444725
50,58.627067,13.459837
50,58.644557,13.474938
50,58.662047,13.490028
50,58.679537,13.505108
50,58.697027,13.520176
50,58.714517,13.535233
50,58.732007,13.55028
50,58.749497,13.565316
50,58.766987,13.580341
50,58.784477,13.595355
50,58.801967,13.610359
50,58.819457,13.625351
50,58.836947,13.640334
50,58.854437,13.655305
50,58.871927,13.670266
50,58.889417,13.685217
50,58.906907,13.700157
50,58.924397,13.715086
50,58.941887,13.730006
50,58.959377,13.744914
50,58.976867,13.759813
50,58.994357,13.774701
50,59.011847,13.789578
50,59.029338,13.804446
50,59.046828,13.819303
50,59.064318,13.83415
50,59.081808,13.848987
50,59.099298,13.863814
50,59.116788,13.87863
50,59.134278,13.893437
50,59.151768,13.908233
50,59.169258,13.92302
50,59.186748,13.937796
50,59.204238,13.952563
50,59.221728,13.96732
50,59.239218,13.982067
50,59.256708,13.996804
50,59.274199,14.011531
50,59.291689,14.026248
50,59.309179,14.040956
50,59.326669,14.055654
50,59.344159,14.070342
50,59.361649,14.08502
50,59.379139,14.099689
50,59.396629,14.114348
50,59.414119,14.128998
50,59.43161,14.143638
50,59.4491,14.158269
50,59.46659,14.17289
50,59.48408,14.187502
50,59.50157,14.202104
50,59.51906,14.216697
50,59.53655,14.231281
50,59.55404,14.245855
50,59.571531,14.26042
50,59.589021,14.274975
50,59.606511,14.289522
50,59.624001,14.304059
50,59.641491,14.318587
50,59.658981,14.333105
50,59.676471,14.347615
50,59.693962,14.362116
50,59.711452,14.376607
50,59.728942,14.391089
50,59.746432,14.405563
50,59.763922,14.420027
50,59.781413,14.434482
50,59.798903,14.448929
50,59.816393,14.463366
50,59.833883,14.477795
50,59.851373,14.492214
50,59.868863,14.506625
50,59.886354,14.521027
50,59.903844,14.53542
50,59.921334,14.549805
50,59.938824,14.56418
50,59.956314,14.578547
50,59.973805,14.592906
50,59.991295,14.607255
50,60.008785,14.621596
50,60.026275,14.635929
50,60.043766,14.650252
50,60.061256,14.664568
50,60.078746,14.678874
50,60.096236,14.693173
50,60.113726,14.707462
50,60.131217,14.721743
50,60.148707,14.736016
50,60.166197,14.750281
50,60.183687,14.764537
50,60.201178,14.778784
50,60.218668,14.793023
50,60.236158,14.807254
50,60.253648,14.821477
50,60.271139,14.835691
50,60.288629,14.849897
50,60.306119,14.864095
50,60.32361,14.878285
50,60.3411,14.892467
50,60.35859,14.90664
50,60.37608,14.920805
50,60.393571,14.934962
50,60.411061,14.949111
50,60.428551,14.963252
50,60.446041,14.977385
50,60.463532,14.99151
50,60.481022,15.005627
50,60.498512,15.019736
50,60.516003,15.033837
50,60.533493,15.04793
50,60.550983,15.062016
50,60.568474,15.076093
50,60.585964,15.090162
50,60.603454,15.104224
50,60.620945,15.118278
50,60.638435,15.132324
50,60.655925,15.146362
50,60.673415,15.160392
50,60.690906,15.174415
50,60.708396,15.18843
50,60.725886,15.202438
50,60.743377,15.216437
50,60.760867,15.230429
50,60.778358,15.244414
50,60.795848,15.25839
50,60.813338,15.27236
50,60.830829,15.286321
50,60.848319,15.300275
50,60.865809,15.314222
50,60.8833,15.328161
50,60.90079,15.342093
50,60.91828,15.356017
50,60.935771,15.369934
50,60.953261,15.383843
50,60.970751,15.397745
50,60.988242,15.411639
50,61.005732,15.425527
50,61.023223,15.439406
50,61.040713,15.453279
50,61.058203,15.467144
50,61.075694,15.481002
50,61.093184,15.494853
50,61.110675,15.508696
50,61.128165,15.522532
50,61.145655,15.536361
50,61.163146,15.550183
50,61.180636,15.563998
50,61.198127,15.577805
50,61.215617,15.591606
50,61.233107,15.605399
50,61.250598,15.619185
50,61.268088,15.632964
50,61.285579,15.646736
50,61.303069,15.660501
50,61.320559,15.674259
50,61.33805,15.68801
50,61.35554,15.701754
50,61.373031,15.715491
50,61.390521,15.729221
50,61.408012,15.742945
50,61.425502,15.756661
50,61.442992,15.77037
50,61.460483,15.784073
50,61.477973,15.797768
50,61.495464,15.811457
50,61.512954,15.825139
50,61.530445,15.838815
50,61.547935,15.852483
50,61.565426,15.866145
